CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX350174,7/17/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1911,Y
HX351731,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1432,Y
HX349725,7/17/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,1012,Y
HX349955,7/17/2014,BURGLARY,ATTEMPT FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,1413,Y
HX354241,7/17/2014,THEFT,POCKET-PICKING,TAVERN/LIQUOR STORE,N,N,1924,Y
HX349547,7/17/2014,NARCOTICS,POSS: SYNTHETIC DRUGS,VEHICLE NON-COMMERCIAL,Y,N,613,N
HX349533,7/17/2014,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,Y,N,1914,N
HX349534,7/17/2014,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,N,N,711,Y
HX349528,7/17/2014,BATTERY,AGGRAVATED: HANDGUN,CHA PARKING LOT/GROUNDS,N,N,533,Y
HX349600,7/17/2014,THEFT,OVER $500,STREET,N,N,1821,Y
HX349552,7/17/2014,THEFT,$500 AND UNDER,STREET,N,N,1711,Y
HX349566,7/17/2014,CRIMINAL DAMAGE,TO VEHICLE,CTA PLATFORM,N,N,634,Y
HX349544,7/17/2014,GAMBLING,GAME/DICE,SIDEWALK,Y,N,1122,N
HX350396,7/17/2014,BATTERY,SIMPLE,OTHER,N,N,1224,Y
HX349546,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2213,Y
HX350437,7/17/2014,BATTERY,SIMPLE,STREET,N,N,831,Y
HX351550,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1821,N
HX349835,7/17/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,532,Y
HX349876,7/17/2014,THEFT,OVER $500,RESIDENCE,N,N,724,Y
HX349572,7/17/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,Y,N,832,N
HX354557,7/17/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,813,Y
HX349557,7/17/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,1834,N
HX349553,7/17/2014,OTHER OFFENSE,PAROLE VIOLATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,2515,N
HX353171,7/17/2014,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,922,Y
HX393888,7/17/2014,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,N,N,624,Y
HX349559,7/17/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,N,934,N
HX349585,7/17/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1511,Y
HX349554,7/17/2014,BATTERY,SIMPLE,ALLEY,N,N,1634,Y
HX354467,7/17/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1925,Y
HX349767,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),N,N,2032,Y
HX349791,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1022,Y
HX349786,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,224,Y
HX349958,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1412,Y
HX459935,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2221,Y
HX528374,7/18/2014,THEFT,OVER $500,CURRENCY EXCHANGE,Y,N,1732,N
HX358864,7/18/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,624,Y
HX359284,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,N,N,422,Y
HX371549,7/18/2014,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,Y,N,1533,N
HX350263,7/18/2014,THEFT,OVER $500,VACANT LOT/LAND,N,N,1012,Y
HX349618,7/18/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,823,Y
HX349602,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1134,N
HX349569,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1531,N
HX350240,7/18/2014,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1923,Y
HX367836,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,922,Y
HX354438,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,431,Y
HX349898,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1614,Y
HX355624,7/18/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,131,Y
HX349894,7/18/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,2531,Y
HX349622,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),N,N,731,Y
HX349634,7/18/2014,ARSON,BY FIRE,STREET,N,N,1233,Y
HX349577,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,922,N
HX349588,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2234,Y
HX350306,7/18/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,1923,Y
HX350021,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1512,Y
HX349571,7/18/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1531,N
HX349604,7/18/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1434,Y
HX349597,7/18/2014,BATTERY,AGGRAVATED: HANDGUN,ALLEY,N,N,221,Y
HX349617,7/18/2014,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,STREET,N,N,723,Y
HX349607,7/18/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,ALLEY,N,Y,725,Y
HX349612,7/18/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,N,N,1111,Y
HX349892,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,835,Y
HX349616,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,N,Y,213,Y
HX349821,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1413,Y
HX349598,7/18/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1522,Y
HX349603,7/18/2014,BATTERY,SIMPLE,BAR OR TAVERN,Y,N,1924,N
HX349599,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,531,Y
HX349615,7/18/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,912,Y
HX349639,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,612,Y
HX349610,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,Y,1122,Y
HX349630,7/18/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1711,Y
HY127696,7/18/2014,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,N,N,423,Y
HX366036,7/18/2014,THEFT,OVER $500,STREET,N,N,1925,Y
HX349943,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1533,Y
HX351752,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1431,Y
HX349776,7/18/2014,BATTERY,SIMPLE,SIDEWALK,N,N,614,Y
HX349623,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,223,Y
HX349629,7/18/2014,BATTERY,SIMPLE,STREET,N,N,1532,Y
HX350438,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,1124,Y
HX349624,7/18/2014,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,RESTAURANT,N,N,2213,Y
HX349641,7/18/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,2232,N
HX349627,7/18/2014,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,N,N,923,Y
HX349620,7/18/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,Y,Y,823,N
HX349637,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1113,Y
HX349669,7/18/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,Y,N,2413,N
HX349652,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1113,Y
HX353369,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1935,Y
HX349706,7/18/2014,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,815,Y
HX349650,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,915,N
HX349749,7/18/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,AIRPORT VENDING ESTABLISHMENT,N,N,1654,Y
HX349659,7/18/2014,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,N,N,1113,Y
HX349655,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2534,N
HX350658,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2011,Y
HX349640,7/18/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,1811,N
HX349645,7/18/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,1513,N
HX354781,7/18/2014,THEFT,OVER $500,STREET,N,N,633,Y
HX350905,7/18/2014,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1831,Y
HX350080,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1924,Y
HX349682,7/18/2014,THEFT,OVER $500,APARTMENT,N,N,414,Y
HX349664,7/18/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,2532,N
HX349647,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,621,Y
HX349869,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,734,Y
HX356834,7/18/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SMALL RETAIL STORE,N,N,1233,Y
HX355462,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,911,Y
HX349674,7/18/2014,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),N,N,821,Y
HX349673,7/18/2014,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,Y,N,1824,N
HX349668,7/18/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,513,N
HX349658,7/18/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,Y,N,123,N
HX349649,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,923,N
HX349660,7/18/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,823,N
HX349654,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1022,Y
HX349882,7/18/2014,THEFT,PURSE-SNATCHING,STREET,N,N,2535,Y
HX350463,7/18/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1924,Y
HX349985,7/18/2014,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,N,N,412,Y
HX349828,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,412,Y
HX349683,7/18/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,724,N
HX351813,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,AIRPORT PARKING LOT,N,N,1654,Y
HX349663,7/18/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,132,Y
HX349700,7/18/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,Y,N,113,N
HX350618,7/18/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CURRENCY EXCHANGE,N,N,1824,Y
HX350201,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,915,Y
HX350307,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,212,Y
HX349685,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,723,Y
HX357880,7/18/2014,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,N,Y,2233,Y
HX349834,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,215,N
HX349691,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1214,Y
HX349677,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1724,Y
HX349705,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,912,N
HX349708,7/18/2014,THEFT,OVER $500,APARTMENT,N,Y,312,Y
HX349695,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,724,Y
HX349697,7/18/2014,BATTERY,SIMPLE,STREET,N,N,2534,Y
HX349735,7/18/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,Y,N,632,N
HX349681,7/18/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,N,N,2521,Y
HX349712,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,421,N
HX350137,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,911,Y
HX349730,7/18/2014,NARCOTICS,POSS: CRACK,STREET,Y,N,421,N
HX349720,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,212,Y
HX349716,7/18/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT VENDING ESTABLISHMENT,Y,N,1654,N
HX349710,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,421,Y
HX349814,7/18/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,623,Y
HX350120,7/18/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,1522,Y
HX349718,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,Y
HX349715,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,333,Y
HX349719,7/18/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1924,Y
HX350227,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2234,Y
HX349723,7/18/2014,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,1024,Y
HX350588,7/18/2014,THEFT,FROM BUILDING,APARTMENT,N,N,2013,Y
HX351216,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,931,Y
HX349714,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,522,Y
HX349741,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,632,Y
HX415006,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,CTA TRAIN,N,Y,1222,Y
HX353069,7/18/2014,THEFT,FROM BUILDING,HOTEL/MOTEL,N,N,1832,Y
HX349789,7/18/2014,ASSAULT,SIMPLE,SIDEWALK,N,Y,1531,Y
HX350579,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,121,Y
HX349733,7/18/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,Y
HX349757,7/18/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,N,N,121,Y
HX349738,7/18/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,Y
HX349736,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1014,Y
HX349748,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,212,N
HX350678,7/18/2014,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,N,N,1133,Y
HX349753,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,223,Y
HX349751,7/18/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1215,Y
HX350048,7/18/2014,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,1223,Y
HX351443,7/18/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,1225,Y
HX350246,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1922,Y
HX349743,7/18/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,Y
HX349769,7/18/2014,CRIMINAL TRESPASS,TO LAND,RESTAURANT,Y,N,1834,N
HX350292,7/18/2014,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,623,Y
HX349744,7/18/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1655,Y
HX349754,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1423,Y
HX349755,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,925,Y
HX349762,7/18/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1934,N
HX349750,7/18/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,Y
HX349794,7/18/2014,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,CAR WASH,Y,N,2212,N
HX349774,7/18/2014,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,N,N,414,Y
HX353189,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE-GARAGE,N,N,1723,Y
HX349796,7/18/2014,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,Y,N,711,N
HX349781,7/18/2014,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,N,N,334,Y
HX351348,7/18/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,231,Y
HX350538,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,833,Y
HX352112,7/18/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2032,Y
HX350824,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,913,Y
HX350911,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1731,Y
HX351360,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,1031,Y
HX361648,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,2413,Y
HX454986,7/18/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,Y,734,Y
HX349775,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1024,Y
HX351748,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,214,Y
HX349819,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,612,N
HX349773,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,Y,N,612,N
HX349798,7/18/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1133,N
HX349792,7/18/2014,ASSAULT,SIMPLE,CTA PLATFORM,N,N,1113,Y
HX351807,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1924,Y
HX349873,7/18/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,N,N,414,Y
HX349853,7/18/2014,THEFT,$500 AND UNDER,OTHER,N,N,2223,Y
HX349856,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,1422,N
HX350599,7/18/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1431,Y
HX355009,7/18/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,921,Y
HX350229,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,2212,Y
HX349944,7/18/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2522,Y
HX350042,7/18/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,524,Y
HX349820,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,GOVERNMENT BUILDING/PROPERTY,N,N,414,Y
HX349905,7/18/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,1931,Y
HX351983,7/18/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,323,Y
HX352873,7/18/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,122,Y
HX350210,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1921,Y
HY114575,7/18/2014,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,N,N,225,Y
HX349957,7/18/2014,THEFT,$500 AND UNDER,MEDICAL/DENTAL OFFICE,N,N,2524,Y
HX349877,7/18/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,Y,N,2221,N
HX349840,7/18/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,N,N,812,Y
HX349830,7/18/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,1021,Y
HX349844,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,614,Y
HX349837,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,511,Y
HX350735,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1622,Y
HX350394,7/18/2014,THEFT,FROM BUILDING,OTHER,N,N,424,Y
HX351820,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,835,Y
HX349866,7/18/2014,THEFT,OVER $500,APARTMENT,Y,N,334,N
HX350553,7/18/2014,THEFT,OVER $500,STREET,N,N,1411,Y
HX349845,7/18/2014,THEFT,RETAIL THEFT,DRUG STORE,N,N,1031,Y
HX351295,7/18/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,911,Y
HX349862,7/18/2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),APARTMENT,Y,N,724,N
HX349890,7/18/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,Y,N,1135,N
HX357948,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,812,Y
HX349927,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1034,Y
HX349846,7/18/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,1113,Y
HX351328,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,823,Y
HX365666,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,215,Y
HX350842,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,815,Y
HX359519,7/18/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,934,Y
HX420409,7/18/2014,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",N,N,224,Y
HX502173,7/18/2014,THEFT,OVER $500,MEDICAL/DENTAL OFFICE,N,N,1215,Y
HY239399,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2011,Y
HX376861,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,212,Y
HX349982,7/18/2014,THEFT,OVER $500,STREET,N,N,1821,Y
HX349913,7/18/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1122,Y
HX349858,7/18/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,1034,Y
HX349874,7/18/2014,CRIMINAL TRESPASS,TO VEHICLE,RESIDENCE-GARAGE,N,N,2212,Y
HX351584,7/18/2014,THEFT,$500 AND UNDER,ALLEY,N,N,1925,Y
HX351658,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1632,Y
HX352589,7/18/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1022,Y
HX370952,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1424,Y
HX354363,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,433,Y
HX349848,7/18/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,N,N,433,Y
HX350000,7/18/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,2522,Y
HX349951,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,112,N
HX350316,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,832,Y
HX357330,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,132,Y
HX349880,7/18/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1222,N
HX349900,7/18/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1124,N
HY246896,7/18/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,1221,Y
HX349940,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,723,Y
HX350138,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,512,Y
HX350094,7/18/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,312,N
HX349891,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,421,Y
HX349884,7/18/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,722,Y
HX349896,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1123,Y
HX349907,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1913,Y
HX349934,7/18/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,523,Y
HX351644,7/18/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1711,Y
HX362678,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1925,Y
